ProductsCategory,Date,TotalSales,PreviousTotalSales,SalesGrowthPercentage
"Aquatic Tuberous Vegetables",2022-07-15,¥511.59,¥145.75,251.01%
"Aquatic Tuberous Vegetables",2022-07-16,¥893.9,¥511.59,74.73%
"Aquatic Tuberous Vegetables",2022-07-17,¥849.41,¥893.9,-4.98%
"Aquatic Tuberous Vegetables",2022-07-18,¥538.16,¥849.41,-36.64%
"Aquatic Tuberous Vegetables",2022-07-19,¥564.63,¥538.16,4.92%
"Aquatic Tuberous Vegetables",2022-07-20,¥618.39,¥564.63,9.52%
"Aquatic Tuberous Vegetables",2022-07-21,¥649.42,¥618.39,5.02%
"Aquatic Tuberous Vegetables",2022-07-22,¥529.79,¥649.42,-18.42%
"Aquatic Tuberous Vegetables",2022-07-23,¥861.26,¥529.79,62.57%
"Aquatic Tuberous Vegetables",2022-07-24,¥860.74,¥861.26,-0.06%
"Aquatic Tuberous Vegetables",2022-07-25,¥575.17,¥860.74,-33.18%
"Aquatic Tuberous Vegetables",2022-07-26,¥639.46,¥575.17,11.18%
"Aquatic Tuberous Vegetables",2022-07-27,¥503.01,¥639.46,-21.34%
"Aquatic Tuberous Vegetables",2022-07-28,¥582.65,¥503.01,15.83%
"Aquatic Tuberous Vegetables",2022-07-29,¥526.45,¥582.65,-9.65%
"Aquatic Tuberous Vegetables",2022-07-30,¥683.91,¥526.45,29.91%
"Aquatic Tuberous Vegetables",2022-07-31,¥808.4,¥683.91,18.2%
"Aquatic Tuberous Vegetables",2022-08-01,¥580.28,¥808.4,-28.22%
"Aquatic Tuberous Vegetables",2022-08-02,¥333.85,¥580.28,-42.47%
"Aquatic Tuberous Vegetables",2022-08-03,¥421.17,¥333.85,26.15%
"Aquatic Tuberous Vegetables",2022-08-04,¥583.33,¥421.17,38.5%
"Aquatic Tuberous Vegetables",2022-08-05,¥474.3,¥583.33,-18.69%
"Aquatic Tuberous Vegetables",2022-08-06,¥707.94,¥474.3,49.26%
"Aquatic Tuberous Vegetables",2022-08-07,¥629.23,¥707.94,-11.12%
"Aquatic Tuberous Vegetables",2022-08-08,¥525.14,¥629.23,-16.54%
"Aquatic Tuberous Vegetables",2022-08-09,¥437.07,¥525.14,-16.77%
"Aquatic Tuberous Vegetables",2022-08-10,¥515.55,¥437.07,17.96%
"Aquatic Tuberous Vegetables",2022-08-11,¥472.33,¥515.55,-8.38%
"Aquatic Tuberous Vegetables",2022-08-12,¥532.42,¥472.33,12.72%
"Aquatic Tuberous Vegetables",2022-08-13,¥795.99,¥532.42,49.5%
"Aquatic Tuberous Vegetables",2022-08-14,¥887.81,¥795.99,11.54%
"Aquatic Tuberous Vegetables",2022-08-15,¥654.89,¥887.81,-26.23%
"Aquatic Tuberous Vegetables",2022-08-16,¥585.36,¥654.89,-10.62%
"Aquatic Tuberous Vegetables",2022-08-17,¥648.74,¥585.36,10.83%
"Aquatic Tuberous Vegetables",2022-08-18,¥623.93,¥648.74,-3.82%
"Aquatic Tuberous Vegetables",2022-08-19,¥1110.26,¥623.93,77.95%
"Aquatic Tuberous Vegetables",2022-08-20,¥766.07,¥1110.26,-31%
"Aquatic Tuberous Vegetables",2022-08-21,¥682.29,¥766.07,-10.94%
"Aquatic Tuberous Vegetables",2022-08-22,¥371.68,¥682.29,-45.52%
"Aquatic Tuberous Vegetables",2022-08-23,¥503.49,¥371.68,35.46%
"Aquatic Tuberous Vegetables",2022-08-24,¥369.38,¥503.49,-26.64%
"Aquatic Tuberous Vegetables",2022-08-25,¥399.35,¥369.38,8.11%
"Aquatic Tuberous Vegetables",2022-08-26,¥314.47,¥399.35,-21.25%
"Aquatic Tuberous Vegetables",2022-08-27,¥653.99,¥314.47,107.97%
"Aquatic Tuberous Vegetables",2022-08-28,¥735.98,¥653.99,12.54%
"Aquatic Tuberous Vegetables",2022-08-29,¥388.78,¥735.98,-47.18%
"Aquatic Tuberous Vegetables",2022-08-30,¥526.48,¥388.78,35.42%
"Aquatic Tuberous Vegetables",2022-08-31,¥226.76,¥526.48,-56.93%
"Aquatic Tuberous Vegetables",2022-09-01,¥574.67,¥226.76,153.43%
"Aquatic Tuberous Vegetables",2022-09-02,¥480.41,¥574.67,-16.4%
"Aquatic Tuberous Vegetables",2022-09-03,¥776.56,¥480.41,61.65%
"Aquatic Tuberous Vegetables",2022-09-04,¥982.07,¥776.56,26.46%
"Aquatic Tuberous Vegetables",2022-09-05,¥459.93,¥982.07,-53.17%
"Aquatic Tuberous Vegetables",2022-09-06,¥470.17,¥459.93,2.23%
"Aquatic Tuberous Vegetables",2022-09-07,¥455.39,¥470.17,-3.14%
"Aquatic Tuberous Vegetables",2022-09-08,¥413.27,¥455.39,-9.25%
"Aquatic Tuberous Vegetables",2022-09-09,¥974.42,¥413.27,135.78%
"Aquatic Tuberous Vegetables",2022-09-10,¥1119.52,¥974.42,14.89%
"Aquatic Tuberous Vegetables",2022-09-11,¥816.77,¥1119.52,-27.04%
"Aquatic Tuberous Vegetables",2022-09-12,¥389.2,¥816.77,-52.35%
"Aquatic Tuberous Vegetables",2022-09-13,¥252.52,¥389.2,-35.12%
"Aquatic Tuberous Vegetables",2022-09-14,¥202.63,¥252.52,-19.76%
"Aquatic Tuberous Vegetables",2022-09-15,¥273.7,¥202.63,35.08%
"Aquatic Tuberous Vegetables",2022-09-16,¥284.83,¥273.7,4.07%
"Aquatic Tuberous Vegetables",2022-09-17,¥436.58,¥284.83,53.28%
"Aquatic Tuberous Vegetables",2022-09-18,¥358.59,¥436.58,-17.86%
"Aquatic Tuberous Vegetables",2022-09-19,¥83.83,¥358.59,-76.62%
"Aquatic Tuberous Vegetables",2022-09-20,¥138.09,¥83.83,64.72%
"Aquatic Tuberous Vegetables",2022-09-21,¥250.31,¥138.09,81.27%
"Aquatic Tuberous Vegetables",2022-09-22,¥215.61,¥250.31,-13.86%
"Aquatic Tuberous Vegetables",2022-09-23,¥292.53,¥215.61,35.68%
"Aquatic Tuberous Vegetables",2022-09-24,¥495.41,¥292.53,69.35%
"Aquatic Tuberous Vegetables",2022-09-25,¥213.43,¥495.41,-56.92%
"Aquatic Tuberous Vegetables",2022-09-26,¥351.96,¥213.43,64.9%
"Aquatic Tuberous Vegetables",2022-09-27,¥292.51,¥351.96,-16.89%
"Aquatic Tuberous Vegetables",2022-09-28,¥442.73,¥292.51,51.35%
"Aquatic Tuberous Vegetables",2022-09-29,¥391.86,¥442.73,-11.49%
"Aquatic Tuberous Vegetables",2022-09-30,¥553.1,¥391.86,41.15%
"Aquatic Tuberous Vegetables",2022-10-01,¥766.39,¥553.1,38.56%
"Aquatic Tuberous Vegetables",2022-10-02,¥700.11,¥766.39,-8.65%
"Aquatic Tuberous Vegetables",2022-10-03,¥730.56,¥700.11,4.35%
"Aquatic Tuberous Vegetables",2022-10-04,¥853.33,¥730.56,16.81%
"Aquatic Tuberous Vegetables",2022-10-05,¥979.78,¥853.33,14.82%
"Aquatic Tuberous Vegetables",2022-10-06,¥1154.96,¥979.78,17.88%
"Aquatic Tuberous Vegetables",2022-10-07,¥928.45,¥1154.96,-19.61%
"Aquatic Tuberous Vegetables",2022-10-08,¥607.39,¥928.45,-34.58%
"Aquatic Tuberous Vegetables",2022-10-09,¥564.84,¥607.39,-7.01%
"Aquatic Tuberous Vegetables",2022-10-10,¥351.55,¥564.84,-37.76%
"Aquatic Tuberous Vegetables",2022-10-11,¥357.09,¥351.55,1.58%
"Aquatic Tuberous Vegetables",2022-10-12,¥306.28,¥357.09,-14.23%
"Aquatic Tuberous Vegetables",2022-10-13,¥492.07,¥306.28,60.66%
"Aquatic Tuberous Vegetables",2022-10-14,¥142.6,¥492.07,-71.02%
"Aquatic Tuberous Vegetables",2022-10-15,¥701.73,¥142.6,392.08%
"Aquatic Tuberous Vegetables",2022-10-16,¥574.47,¥701.73,-18.13%
"Aquatic Tuberous Vegetables",2022-10-17,¥301.3,¥574.47,-47.55%
"Aquatic Tuberous Vegetables",2022-10-18,¥298.44,¥301.3,-0.95%
"Aquatic Tuberous Vegetables",2022-10-19,¥259.08,¥298.44,-13.19%
"Aquatic Tuberous Vegetables",2022-10-20,¥391.86,¥259.08,51.25%
"Aquatic Tuberous Vegetables",2022-10-21,¥897.84,¥391.86,129.12%
"Aquatic Tuberous Vegetables",2022-10-22,¥525.81,¥897.84,-41.44%
"Aquatic Tuberous Vegetables",2022-10-23,¥417.48,¥525.81,-20.6%
"Aquatic Tuberous Vegetables",2022-10-24,¥262.43,¥417.48,-37.14%
"Aquatic Tuberous Vegetables",2022-10-25,¥305.91,¥262.43,16.57%
"Aquatic Tuberous Vegetables",2022-10-26,¥270.06,¥305.91,-11.72%
"Aquatic Tuberous Vegetables",2022-10-27,¥283.95,¥270.06,5.14%
"Aquatic Tuberous Vegetables",2022-10-28,¥507.13,¥283.95,78.6%
"Aquatic Tuberous Vegetables",2022-10-29,¥748.09,¥507.13,47.52%
"Aquatic Tuberous Vegetables",2022-10-30,¥478.6,¥748.09,-36.02%
"Aquatic Tuberous Vegetables",2022-10-31,¥214.72,¥478.6,-55.13%
"Aquatic Tuberous Vegetables",2022-11-01,¥232.32,¥214.72,8.2%
"Aquatic Tuberous Vegetables",2022-11-03,¥121.12,¥232.32,-47.87%
"Aquatic Tuberous Vegetables",2022-11-05,¥578.55,¥121.12,377.69%
"Aquatic Tuberous Vegetables",2022-11-06,¥400.99,¥578.55,-30.69%
"Aquatic Tuberous Vegetables",2022-11-07,¥174.59,¥400.99,-56.46%
"Aquatic Tuberous Vegetables",2022-11-08,¥264.91,¥174.59,51.73%
"Aquatic Tuberous Vegetables",2022-11-09,¥166.52,¥264.91,-37.14%
"Aquatic Tuberous Vegetables",2022-11-10,¥145.1,¥166.52,-12.86%
"Aquatic Tuberous Vegetables",2022-11-11,¥351.49,¥145.1,142.24%
"Aquatic Tuberous Vegetables",2022-11-12,¥550.79,¥351.49,56.7%
"Aquatic Tuberous Vegetables",2022-11-13,¥393.78,¥550.79,-28.51%
"Aquatic Tuberous Vegetables",2022-11-14,¥202.15,¥393.78,-48.66%
"Aquatic Tuberous Vegetables",2022-11-15,¥260.6,¥202.15,28.92%
"Aquatic Tuberous Vegetables",2022-11-16,¥136.71,¥260.6,-47.54%
"Aquatic Tuberous Vegetables",2022-11-17,¥397.02,¥136.71,190.42%
"Aquatic Tuberous Vegetables",2022-11-18,¥495.75,¥397.02,24.87%
"Aquatic Tuberous Vegetables",2022-11-19,¥1229.23,¥495.75,147.95%
"Aquatic Tuberous Vegetables",2022-11-20,¥553.38,¥1229.23,-54.98%
"Aquatic Tuberous Vegetables",2022-11-21,¥2026.83,¥553.38,266.26%
"Aquatic Tuberous Vegetables",2022-11-22,¥206.69,¥2026.83,-89.8%
"Aquatic Tuberous Vegetables",2022-11-23,¥405.13,¥206.69,96%
"Aquatic Tuberous Vegetables",2022-11-24,¥196.06,¥405.13,-51.61%
"Aquatic Tuberous Vegetables",2022-11-25,¥486.33,¥196.06,148.05%
"Aquatic Tuberous Vegetables",2022-11-26,¥331.9,¥486.33,-31.75%
"Aquatic Tuberous Vegetables",2022-11-27,¥17.72,¥331.9,-94.66%
"Aquatic Tuberous Vegetables",2022-11-28,¥15.33,¥17.72,-13.5%
"Aquatic Tuberous Vegetables",2022-11-29,¥61.89,¥15.33,303.68%
"Aquatic Tuberous Vegetables",2022-12-04,¥132.88,¥61.89,114.72%
"Aquatic Tuberous Vegetables",2022-12-05,¥421.34,¥132.88,217.07%
"Aquatic Tuberous Vegetables",2022-12-06,¥497.33,¥421.34,18.04%
"Aquatic Tuberous Vegetables",2022-12-07,¥469.65,¥497.33,-5.57%
"Aquatic Tuberous Vegetables",2022-12-08,¥290,¥469.65,-38.25%
"Aquatic Tuberous Vegetables",2022-12-09,¥227.5,¥290,-21.55%
"Aquatic Tuberous Vegetables",2022-12-10,¥522.74,¥227.5,129.77%
"Aquatic Tuberous Vegetables",2022-12-11,¥498.62,¥522.74,-4.62%
"Aquatic Tuberous Vegetables",2022-12-12,¥202.07,¥498.62,-59.47%
"Aquatic Tuberous Vegetables",2022-12-13,¥337.14,¥202.07,66.85%
"Aquatic Tuberous Vegetables",2022-12-14,¥182.59,¥337.14,-45.84%
"Aquatic Tuberous Vegetables",2022-12-15,¥374.22,¥182.59,104.95%
"Aquatic Tuberous Vegetables",2022-12-16,¥337.33,¥374.22,-9.86%
"Aquatic Tuberous Vegetables",2022-12-17,¥735.71,¥337.33,118.1%
"Aquatic Tuberous Vegetables",2022-12-18,¥444.08,¥735.71,-39.64%
"Aquatic Tuberous Vegetables",2022-12-19,¥496.09,¥444.08,11.71%
"Aquatic Tuberous Vegetables",2022-12-20,¥348.7,¥496.09,-29.71%
"Aquatic Tuberous Vegetables",2022-12-21,¥407,¥348.7,16.72%
"Aquatic Tuberous Vegetables",2022-12-22,¥270.32,¥407,-33.58%
"Aquatic Tuberous Vegetables",2022-12-23,¥373.12,¥270.32,38.03%
"Aquatic Tuberous Vegetables",2022-12-24,¥442.44,¥373.12,18.58%
"Aquatic Tuberous Vegetables",2022-12-25,¥714.17,¥442.44,61.42%
"Aquatic Tuberous Vegetables",2022-12-26,¥411.87,¥714.17,-42.33%
"Aquatic Tuberous Vegetables",2022-12-27,¥560.88,¥411.87,36.18%
"Aquatic Tuberous Vegetables",2022-12-28,¥428.67,¥560.88,-23.57%
"Aquatic Tuberous Vegetables",2022-12-29,¥499.35,¥428.67,16.49%
"Aquatic Tuberous Vegetables",2022-12-30,¥434.07,¥499.35,-13.07%
"Aquatic Tuberous Vegetables",2022-12-31,¥739.76,¥434.07,70.42%
"Aquatic Tuberous Vegetables",2023-01-01,¥662.94,¥739.76,-10.38%
"Aquatic Tuberous Vegetables",2023-01-02,¥457.36,¥662.94,-31.01%
"Aquatic Tuberous Vegetables",2023-01-03,¥397.94,¥457.36,-12.99%
"Aquatic Tuberous Vegetables",2023-01-04,¥421.39,¥397.94,5.89%
"Aquatic Tuberous Vegetables",2023-01-05,¥271.06,¥421.39,-35.67%
"Aquatic Tuberous Vegetables",2023-01-06,¥433.22,¥271.06,59.82%
"Aquatic Tuberous Vegetables",2023-01-07,¥383.1,¥433.22,-11.57%
"Aquatic Tuberous Vegetables",2023-01-08,¥412.06,¥383.1,7.56%
"Aquatic Tuberous Vegetables",2023-01-09,¥256.14,¥412.06,-37.84%
"Aquatic Tuberous Vegetables",2023-01-10,¥361.47,¥256.14,41.13%
"Aquatic Tuberous Vegetables",2023-01-11,¥247.29,¥361.47,-31.59%
"Aquatic Tuberous Vegetables",2023-01-12,¥254.92,¥247.29,3.08%
"Aquatic Tuberous Vegetables",2023-01-13,¥188.77,¥254.92,-25.95%
"Aquatic Tuberous Vegetables",2023-01-14,¥933.1,¥188.77,394.31%
"Aquatic Tuberous Vegetables",2023-01-15,¥866.95,¥933.1,-7.09%
"Aquatic Tuberous Vegetables",2023-01-16,¥504.96,¥866.95,-41.75%
"Aquatic Tuberous Vegetables",2023-01-17,¥721.03,¥504.96,42.79%
"Aquatic Tuberous Vegetables",2023-01-18,¥727.42,¥721.03,0.89%
"Aquatic Tuberous Vegetables",2023-01-19,¥1355.2,¥727.42,86.3%
"Aquatic Tuberous Vegetables",2023-01-20,¥2054.99,¥1355.2,51.64%
"Aquatic Tuberous Vegetables",2023-01-22,¥291.06,¥2054.99,-85.84%
"Aquatic Tuberous Vegetables",2023-01-23,¥383.29,¥291.06,31.69%
"Aquatic Tuberous Vegetables",2023-01-24,¥690.62,¥383.29,80.18%
"Aquatic Tuberous Vegetables",2023-01-25,¥765.29,¥690.62,10.81%
"Aquatic Tuberous Vegetables",2023-01-26,¥550.87,¥765.29,-28.02%
"Aquatic Tuberous Vegetables",2023-01-27,¥656.29,¥550.87,19.14%
"Aquatic Tuberous Vegetables",2023-01-28,¥456.64,¥656.29,-30.42%
"Aquatic Tuberous Vegetables",2023-01-29,¥375.85,¥456.64,-17.69%
"Aquatic Tuberous Vegetables",2023-01-30,¥397.51,¥375.85,5.76%
"Aquatic Tuberous Vegetables",2023-01-31,¥295.05,¥397.51,-25.77%
"Aquatic Tuberous Vegetables",2023-02-01,¥214.77,¥295.05,-27.21%
"Aquatic Tuberous Vegetables",2023-02-02,¥236.21,¥214.77,9.98%
"Aquatic Tuberous Vegetables",2023-02-03,¥338.75,¥236.21,43.41%
"Aquatic Tuberous Vegetables",2023-02-04,¥543.62,¥338.75,60.48%
"Aquatic Tuberous Vegetables",2023-02-05,¥483.59,¥543.62,-11.04%
"Aquatic Tuberous Vegetables",2023-02-06,¥69.69,¥483.59,-85.59%
"Aquatic Tuberous Vegetables",2023-02-07,¥150.22,¥69.69,115.55%
"Aquatic Tuberous Vegetables",2023-02-08,¥240.5,¥150.22,60.09%
"Aquatic Tuberous Vegetables",2023-02-09,¥286.56,¥240.5,19.15%
"Aquatic Tuberous Vegetables",2023-02-10,¥335.39,¥286.56,17.04%
"Aquatic Tuberous Vegetables",2023-02-11,¥482.6,¥335.39,43.89%
"Aquatic Tuberous Vegetables",2023-02-12,¥422.05,¥482.6,-12.55%
"Aquatic Tuberous Vegetables",2023-02-13,¥260.62,¥422.05,-38.25%
"Aquatic Tuberous Vegetables",2023-02-14,¥237.6,¥260.62,-8.83%
"Aquatic Tuberous Vegetables",2023-02-15,¥221.06,¥237.6,-6.96%
"Aquatic Tuberous Vegetables",2023-02-16,¥226.03,¥221.06,2.25%
"Aquatic Tuberous Vegetables",2023-02-17,¥190.97,¥226.03,-15.51%
"Aquatic Tuberous Vegetables",2023-02-18,¥425.95,¥190.97,123.04%
"Aquatic Tuberous Vegetables",2023-02-19,¥332.64,¥425.95,-21.91%
"Aquatic Tuberous Vegetables",2023-02-20,¥156.98,¥332.64,-52.81%
"Aquatic Tuberous Vegetables",2023-02-21,¥161.43,¥156.98,2.83%
"Aquatic Tuberous Vegetables",2023-02-22,¥202.99,¥161.43,25.75%
"Aquatic Tuberous Vegetables",2023-02-23,¥127.35,¥202.99,-37.26%
"Aquatic Tuberous Vegetables",2023-02-24,¥209.1,¥127.35,64.19%
"Aquatic Tuberous Vegetables",2023-02-25,¥263.34,¥209.1,25.94%
"Aquatic Tuberous Vegetables",2023-02-26,¥208.27,¥263.34,-20.91%
"Aquatic Tuberous Vegetables",2023-02-27,¥102.86,¥208.27,-50.61%
"Aquatic Tuberous Vegetables",2023-02-28,¥147.94,¥102.86,43.83%
"Aquatic Tuberous Vegetables",2023-03-01,¥103.22,¥147.94,-30.23%
"Aquatic Tuberous Vegetables",2023-03-02,¥125.45,¥103.22,21.54%
"Aquatic Tuberous Vegetables",2023-03-03,¥202.78,¥125.45,61.64%
"Aquatic Tuberous Vegetables",2023-03-04,¥215.85,¥202.78,6.45%
"Aquatic Tuberous Vegetables",2023-03-05,¥224.15,¥215.85,3.84%
"Aquatic Tuberous Vegetables",2023-03-06,¥171.58,¥224.15,-23.45%
"Aquatic Tuberous Vegetables",2023-03-07,¥117.28,¥171.58,-31.65%
"Aquatic Tuberous Vegetables",2023-03-08,¥165.75,¥117.28,41.34%
"Aquatic Tuberous Vegetables",2023-03-09,¥193.62,¥165.75,16.81%
"Aquatic Tuberous Vegetables",2023-03-10,¥199.68,¥193.62,3.13%
"Aquatic Tuberous Vegetables",2023-03-11,¥282.38,¥199.68,41.42%
"Aquatic Tuberous Vegetables",2023-03-12,¥245.42,¥282.38,-13.09%
"Aquatic Tuberous Vegetables",2023-03-13,¥168.49,¥245.42,-31.34%
"Aquatic Tuberous Vegetables",2023-03-14,¥73.22,¥168.49,-56.55%
"Aquatic Tuberous Vegetables",2023-03-15,¥170.46,¥73.22,132.82%
"Aquatic Tuberous Vegetables",2023-03-16,¥218.99,¥170.46,28.47%
"Aquatic Tuberous Vegetables",2023-03-17,¥387.46,¥218.99,76.93%
"Aquatic Tuberous Vegetables",2023-03-18,¥410.33,¥387.46,5.9%
"Aquatic Tuberous Vegetables",2023-03-19,¥349.79,¥410.33,-14.75%
"Aquatic Tuberous Vegetables",2023-03-20,¥253.93,¥349.79,-27.41%
"Aquatic Tuberous Vegetables",2023-03-21,¥150.77,¥253.93,-40.63%
"Aquatic Tuberous Vegetables",2023-03-22,¥174.87,¥150.77,15.98%
"Aquatic Tuberous Vegetables",2023-03-23,¥229.62,¥174.87,31.31%
"Aquatic Tuberous Vegetables",2023-03-24,¥246.07,¥229.62,7.17%
"Aquatic Tuberous Vegetables",2023-03-25,¥421.27,¥246.07,71.2%
"Aquatic Tuberous Vegetables",2023-03-26,¥239.44,¥421.27,-43.16%
"Aquatic Tuberous Vegetables",2023-03-27,¥174.62,¥239.44,-27.07%
"Aquatic Tuberous Vegetables",2023-03-28,¥167.28,¥174.62,-4.2%
"Aquatic Tuberous Vegetables",2023-03-29,¥187.73,¥167.28,12.22%
"Aquatic Tuberous Vegetables",2023-03-30,¥136.45,¥187.73,-27.31%
"Aquatic Tuberous Vegetables",2023-03-31,¥286.66,¥136.45,110.08%
"Aquatic Tuberous Vegetables",2023-04-01,¥237.26,¥286.66,-17.23%
"Aquatic Tuberous Vegetables",2023-04-02,¥231.85,¥237.26,-2.28%
"Aquatic Tuberous Vegetables",2023-04-03,¥351.33,¥231.85,51.53%
"Aquatic Tuberous Vegetables",2023-04-04,¥124.55,¥351.33,-64.55%
"Aquatic Tuberous Vegetables",2023-04-05,¥181.18,¥124.55,45.47%
"Aquatic Tuberous Vegetables",2023-04-06,¥141.02,¥181.18,-22.17%
"Aquatic Tuberous Vegetables",2023-04-07,¥194.49,¥141.02,37.92%
"Aquatic Tuberous Vegetables",2023-04-08,¥202.15,¥194.49,3.94%
"Aquatic Tuberous Vegetables",2023-04-09,¥349.54,¥202.15,72.91%
"Aquatic Tuberous Vegetables",2023-04-10,¥191.16,¥349.54,-45.31%
"Aquatic Tuberous Vegetables",2023-04-11,¥67.39,¥191.16,-64.75%
"Aquatic Tuberous Vegetables",2023-04-12,¥196.65,¥67.39,191.82%
"Aquatic Tuberous Vegetables",2023-04-13,¥141.99,¥196.65,-27.79%
"Aquatic Tuberous Vegetables",2023-04-14,¥289.35,¥141.99,103.78%
"Aquatic Tuberous Vegetables",2023-04-15,¥282.81,¥289.35,-2.26%
"Aquatic Tuberous Vegetables",2023-04-16,¥192.38,¥282.81,-31.97%
"Aquatic Tuberous Vegetables",2023-04-17,¥89.61,¥192.38,-53.42%
"Aquatic Tuberous Vegetables",2023-04-18,¥139.61,¥89.61,55.8%
"Aquatic Tuberous Vegetables",2023-04-19,¥123.28,¥139.61,-11.69%
"Aquatic Tuberous Vegetables",2023-04-20,¥132.93,¥123.28,7.82%
"Aquatic Tuberous Vegetables",2023-04-21,¥254.15,¥132.93,91.19%
"Aquatic Tuberous Vegetables",2023-04-22,¥223.04,¥254.15,-12.24%
"Aquatic Tuberous Vegetables",2023-04-23,¥109.71,¥223.04,-50.81%
"Aquatic Tuberous Vegetables",2023-04-24,¥111.21,¥109.71,1.37%
"Aquatic Tuberous Vegetables",2023-04-25,¥80.58,¥111.21,-27.54%
"Aquatic Tuberous Vegetables",2023-04-26,¥84.05,¥80.58,4.3%
"Aquatic Tuberous Vegetables",2023-04-27,¥163.79,¥84.05,94.87%
"Aquatic Tuberous Vegetables",2023-04-28,¥141.41,¥163.79,-13.66%
"Aquatic Tuberous Vegetables",2023-04-29,¥198.05,¥141.41,40.05%
"Aquatic Tuberous Vegetables",2023-04-30,¥224.71,¥198.05,13.46%
"Aquatic Tuberous Vegetables",2023-05-01,¥265.06,¥224.71,17.96%
"Aquatic Tuberous Vegetables",2023-05-02,¥203.09,¥265.06,-23.38%
"Aquatic Tuberous Vegetables",2023-05-03,¥108.98,¥203.09,-46.34%
"Aquatic Tuberous Vegetables",2023-05-04,¥92.99,¥108.98,-14.68%
"Aquatic Tuberous Vegetables",2023-05-05,¥107.62,¥92.99,15.74%
"Aquatic Tuberous Vegetables",2023-05-06,¥146.75,¥107.62,36.35%
"Aquatic Tuberous Vegetables",2023-05-07,¥161.27,¥146.75,9.9%
"Aquatic Tuberous Vegetables",2023-05-08,¥137.18,¥161.27,-14.94%
"Aquatic Tuberous Vegetables",2023-05-09,¥106.79,¥137.18,-22.16%
"Aquatic Tuberous Vegetables",2023-05-10,¥81.34,¥106.79,-23.83%
"Aquatic Tuberous Vegetables",2023-05-11,¥145.56,¥81.34,78.94%
"Aquatic Tuberous Vegetables",2023-05-12,¥284.16,¥145.56,95.23%
"Aquatic Tuberous Vegetables",2023-05-13,¥362.99,¥284.16,27.74%
"Aquatic Tuberous Vegetables",2023-05-14,¥178.32,¥362.99,-50.87%
"Aquatic Tuberous Vegetables",2023-05-15,¥73.42,¥178.32,-58.83%
"Aquatic Tuberous Vegetables",2023-05-16,¥97.96,¥73.42,33.43%
"Aquatic Tuberous Vegetables",2023-05-17,¥175.19,¥97.96,78.83%
"Aquatic Tuberous Vegetables",2023-05-18,¥108.3,¥175.19,-38.18%
"Aquatic Tuberous Vegetables",2023-05-19,¥103.86,¥108.3,-4.09%
"Aquatic Tuberous Vegetables",2023-05-20,¥182.85,¥103.86,76.06%
"Aquatic Tuberous Vegetables",2023-05-21,¥232.02,¥182.85,26.89%
"Aquatic Tuberous Vegetables",2023-05-22,¥81.54,¥232.02,-64.86%
"Aquatic Tuberous Vegetables",2023-05-23,¥159.82,¥81.54,96%
"Aquatic Tuberous Vegetables",2023-05-24,¥137.69,¥159.82,-13.85%
"Aquatic Tuberous Vegetables",2023-05-25,¥212.86,¥137.69,54.6%
"Aquatic Tuberous Vegetables",2023-05-26,¥296.96,¥212.86,39.51%
"Aquatic Tuberous Vegetables",2023-05-27,¥340.2,¥296.96,14.56%
"Aquatic Tuberous Vegetables",2023-05-28,¥296.51,¥340.2,-12.84%
"Aquatic Tuberous Vegetables",2023-05-29,¥169.81,¥296.51,-42.73%
"Aquatic Tuberous Vegetables",2023-05-30,¥125.03,¥169.81,-26.37%
"Aquatic Tuberous Vegetables",2023-05-31,¥121.59,¥125.03,-2.75%
"Aquatic Tuberous Vegetables",2023-06-01,¥150.53,¥121.59,23.8%
"Aquatic Tuberous Vegetables",2023-06-02,¥193.02,¥150.53,28.23%
"Aquatic Tuberous Vegetables",2023-06-03,¥414.39,¥193.02,114.69%
"Aquatic Tuberous Vegetables",2023-06-04,¥250.05,¥414.39,-39.66%
"Aquatic Tuberous Vegetables",2023-06-05,¥159.03,¥250.05,-36.4%
"Aquatic Tuberous Vegetables",2023-06-06,¥185.67,¥159.03,16.75%
"Aquatic Tuberous Vegetables",2023-06-07,¥214.79,¥185.67,15.68%
"Aquatic Tuberous Vegetables",2023-06-08,¥136.19,¥214.79,-36.59%
"Aquatic Tuberous Vegetables",2023-06-09,¥187.27,¥136.19,37.51%
"Aquatic Tuberous Vegetables",2023-06-10,¥222.6,¥187.27,18.86%
"Aquatic Tuberous Vegetables",2023-06-11,¥304.31,¥222.6,36.71%
"Aquatic Tuberous Vegetables",2023-06-12,¥142.93,¥304.31,-53.03%
"Aquatic Tuberous Vegetables",2023-06-13,¥178.7,¥142.93,25.03%
"Aquatic Tuberous Vegetables",2023-06-14,¥107.3,¥178.7,-39.96%
"Aquatic Tuberous Vegetables",2023-06-15,¥197.49,¥107.3,84.06%
"Aquatic Tuberous Vegetables",2023-06-16,¥255.28,¥197.49,29.26%
"Aquatic Tuberous Vegetables",2023-06-17,¥312.82,¥255.28,22.54%
"Aquatic Tuberous Vegetables",2023-06-18,¥358.47,¥312.82,14.59%
"Aquatic Tuberous Vegetables",2023-06-19,¥199.96,¥358.47,-44.22%
"Aquatic Tuberous Vegetables",2023-06-20,¥221.87,¥199.96,10.96%
"Aquatic Tuberous Vegetables",2023-06-21,¥456.22,¥221.87,105.62%
"Aquatic Tuberous Vegetables",2023-06-22,¥640.24,¥456.22,40.34%
